SPEAKER,DATE,TITLE,CITATION,URL,Attitude,Merged_Text
George W. Bush,16-Feb-01,"The President's News Conference With President Vicente Fox of Mexico in San Cristobal, Mexico","George W. Bush, The President's News Conference With President Vicente Fox of Mexico in San Cristobal, Mexico Online by Gerhard Peters and John T. Woolley, The American Presidency Project https://www.presidency.ucsb.edu/node/215554",https://www.presidency.ucsb.edu/documents/the-presidents-news-conference-with-president-vicente-fox-mexico-san-cristobal-mexico,1,The fact that the President—George Bush's first foreign visit has our country as its destination is a clear message of the interest his administration places on strengthening links with Mexico
George W. Bush,16-Feb-01,"The President's News Conference With President Vicente Fox of Mexico in San Cristobal, Mexico","George W. Bush, The President's News Conference With President Vicente Fox of Mexico in San Cristobal, Mexico Online by Gerhard Peters and John T. Woolley, The American Presidency Project https://www.presidency.ucsb.edu/node/215554",https://www.presidency.ucsb.edu/documents/the-presidents-news-conference-with-president-vicente-fox-mexico-san-cristobal-mexico,1," I also acknowledge President Bush's demonstration of friendship by coming to Guanajuato, the cradle of Mexico's independence"
George W. Bush,16-Feb-01,"The President's News Conference With President Vicente Fox of Mexico in San Cristobal, Mexico","George W. Bush, The President's News Conference With President Vicente Fox of Mexico in San Cristobal, Mexico Online by Gerhard Peters and John T. Woolley, The American Presidency Project https://www.presidency.ucsb.edu/node/215554",https://www.presidency.ucsb.edu/documents/the-presidents-news-conference-with-president-vicente-fox-mexico-san-cristobal-mexico,1," President, that you will always be welcome in this, your home—or, in your language, President, you know that we consider you a friend of Mexico, a friend of Mexican people, and a friend of mine"
George W. Bush,16-Feb-01,"The President's News Conference With President Vicente Fox of Mexico in San Cristobal, Mexico","George W. Bush, The President's News Conference With President Vicente Fox of Mexico in San Cristobal, Mexico Online by Gerhard Peters and John T. Woolley, The American Presidency Project https://www.presidency.ucsb.edu/node/215554",https://www.presidency.ucsb.edu/documents/the-presidents-news-conference-with-president-vicente-fox-mexico-san-cristobal-mexico,0,"We, the Presidents of Mexico and the United States, have the favorable circumstance of beginning our respective mandates simultaneously"
George W. Bush,16-Feb-01,"The President's News Conference With President Vicente Fox of Mexico in San Cristobal, Mexico","George W. Bush, The President's News Conference With President Vicente Fox of Mexico in San Cristobal, Mexico Online by Gerhard Peters and John T. Woolley, The American Presidency Project https://www.presidency.ucsb.edu/node/215554",https://www.presidency.ucsb.edu/documents/the-presidents-news-conference-with-president-vicente-fox-mexico-san-cristobal-mexico,1," Muchas gracias, amigo, el Presidente de Mexico"
George W. Bush,16-Feb-01,"The President's News Conference With President Vicente Fox of Mexico in San Cristobal, Mexico","George W. Bush, The President's News Conference With President Vicente Fox of Mexico in San Cristobal, Mexico Online by Gerhard Peters and John T. Woolley, The American Presidency Project https://www.presidency.ucsb.edu/node/215554",https://www.presidency.ucsb.edu/documents/the-presidents-news-conference-with-president-vicente-fox-mexico-san-cristobal-mexico,1," It's a great honor to come to Mexico as this important nation enjoys a new birth of freedom, signaled by President Fox's election"
George W. Bush,16-Feb-01,"The President's News Conference With President Vicente Fox of Mexico in San Cristobal, Mexico","George W. Bush, The President's News Conference With President Vicente Fox of Mexico in San Cristobal, Mexico Online by Gerhard Peters and John T. Woolley, The American Presidency Project https://www.presidency.ucsb.edu/node/215554",https://www.presidency.ucsb.edu/documents/the-presidents-news-conference-with-president-vicente-fox-mexico-san-cristobal-mexico,1, Our meetings today have been a really good opportunity to renew our personal friendship and the friendship between Mexico and the United States
George W. Bush,16-Feb-01,"The President's News Conference With President Vicente Fox of Mexico in San Cristobal, Mexico","George W. Bush, The President's News Conference With President Vicente Fox of Mexico in San Cristobal, Mexico Online by Gerhard Peters and John T. Woolley, The American Presidency Project https://www.presidency.ucsb.edu/node/215554",https://www.presidency.ucsb.edu/documents/the-presidents-news-conference-with-president-vicente-fox-mexico-san-cristobal-mexico,1,"Mexico is the first foreign country I have visited as President, and I intended it to be that way"
George W. Bush,16-Feb-01,"The President's News Conference With President Vicente Fox of Mexico in San Cristobal, Mexico","George W. Bush, The President's News Conference With President Vicente Fox of Mexico in San Cristobal, Mexico Online by Gerhard Peters and John T. Woolley, The American Presidency Project https://www.presidency.ucsb.edu/node/215554",https://www.presidency.ucsb.edu/documents/the-presidents-news-conference-with-president-vicente-fox-mexico-san-cristobal-mexico,1, We enjoyed a warm and substantive and frank dialog on the many issues that shape the relationship between America and Mexico
George W. Bush,16-Feb-01,"The President's News Conference With President Vicente Fox of Mexico in San Cristobal, Mexico","George W. Bush, The President's News Conference With President Vicente Fox of Mexico in San Cristobal, Mexico Online by Gerhard Peters and John T. Woolley, The American Presidency Project https://www.presidency.ucsb.edu/node/215554",https://www.presidency.ucsb.edu/documents/the-presidents-news-conference-with-president-vicente-fox-mexico-san-cristobal-mexico,1,We are welcoming a new day in the relationship between America and Mexico
