The fact that the President—George Bush's first foreign visit has our country as its destination is a clear message of the interest his administration places on strengthening links with Mexico,2,9770
" I also acknowledge President Bush's demonstration of friendship by coming to Guanajuato, the cradle of Mexico's independence",2,3631
" President, that you will always be welcome in this, your home—or, in your language, President, you know that we consider you a friend of Mexico, a friend of Mexican people, and a friend of mine",2,7059
"We, the Presidents of Mexico and the United States, have the favorable circumstance of beginning our respective mandates simultaneously",2,421
"And so I want to assure our friends from Mexico that we will put fiscal and monetary—I have nothing to do with monetary policy, of course—but fiscal policy in place that will affect economic growth, because it is beneficial not only for our people but for the Mexican people",2,7050
President's Visit to MexicoQ,1,270
 Much has been made of you choosing Mexico as your first foreign trip,2,4547
 And Mexico is our friend and will remain our friend,2,7812
" Here we are in the process of building up and constructing a strategy to foster the economic and human development of a complete region that is formed by three countries that have been associated under a free trade agreement, and the direct relationship between the United States and Mexico that has proven already—that has made advancements very constructively",2,3723
" It has meant development and employment in Mexico, as well",1,7022
This is what has allowed us to reduce substantially the level of poverty in Mexico,2,2403
 and Mexico,1,5846
" We spoke about the California problems, by itself, and, yes, we are speaking about the possibility of creating an energy policy that will be common to all the northern part of the country and into Canada, the United States, and Mexico and part of Central America, to try to create a synergy or a synergism so that each one of the countries would benefit from all these policies, because there is energy that we need to import in Mexico that we do not have enough, and at this moment we know in some part of the U",1,4004
" First of all, good energy policy is one that encompasses not only Mexico but Canada",1,7368
 We talked about the possibility of exploration in Canada and the United States and Mexico,1,308
" A cubic foot of gas imported into Mexico is one, obviously, less able to burn in the United States",1,8081
" And we're going to need to—so when we talk about an energy policy at home, it is also in the context of Mexico and Canada",1,507
 It's an issue that is going to affect the people of Mexico and the people of the United States if we don't recognize that we need more supply,1,3072
"We have a great opportunity to come together and have a strategy that honors Mexico and honors its sovereignty and, at the same time, recognizes that people are what matters most",2,2276
I've talked to the President of Mexico about a policy,1,8585
"[At this point, President Ricardo Lagos of Chile, President Fernando de la Rua of Argentina, and President Vicente Fox of Mexico each made brief remarks in Spanish",1,7811
 Canada has benefited; Mexico has benefited; the United States has benefited,2,3176
" President Bush, the United States Secretary of the Treasury gave direct financial aid to Mexico to overcome the tequila crisis and to stop propagation to the rest of the region",1,5732
" Given the economic financial crisis in Argentina is already spreading to neighboring countries such as Brazil, I'd like to know if the United States plans to give direct financial aid to Argentina, as it did with Mexico in the past?President Bush",2,9192
" I am from a newspaper in Mexico City, and I have a question addressed to President Bush and to Prime Minister Jean Chretien",1,2673
" Mexico, there is an issue that is of great interest, and I'm referring now to the power issue",1,6926
" I have talked with President Fox about that, not only when I was in Mexico but also earlier this week, and will discuss this very issue with the Prime Minister and the President right after this press conference",1,7434
"Part of our issue is to make sure our electricity grids are open enough to handle additional power, say, in the western part of our State, obviously the western part of Mexico",1,9953
" It is important for our hemisphere to not only trade liberally but to move energy throughout the hemisphere as needed, and it starts with the cooperation between Mexico, Canada, and the United States",2,4669
" You're developing closer relations with Nigeria, Mexico, and Canada",1,1675
